iter	Passed	Remaining
425	1715	2311
426	1718	2306
427	1722	2301
428	1725	2296
429	1728	2291
430	1731	2286
431	1734	2280
432	1738	2275
433	1741	2270
434	1744	2265
435	1747	2260
436	1750	2255
437	1753	2250
438	1756	2245
439	1759	2239
440	1763	2235
441	1766	2229
442	1769	2224
443	1772	2219
444	1775	2214
445	1778	2209
446	1781	2204
447	1784	2199
448	1788	2194
449	1791	2189
450	1794	2184
451	1797	2179
452	1800	2173
453	1803	2169
454	1806	2163
455	1809	2158
456	1813	2154
457	1816	2149
458	1819	2144
459	1822	2139
460	1825	2134
461	1828	2129
462	1832	2124
463	1835	2120
464	1838	2115
465	1841	2110
466	1845	2105
467	1848	2101
468	1851	2096
469	1855	2091
470	1858	2086
471	1861	2082
472	1865	2078
473	1868	2073
474	1872	2069
475	1875	2064
476	1879	2060
477	1882	2055
478	1885	2051
479	1889	2046
480	1893	2042
481	1896	2038
482	1900	2033
483	1903	2029
484	1906	2024
485	1910	2020
486	1913	2015
487	1916	2011
488	1920	2006
489	1924	2002
490	1927	1998
491	1931	1994
492	1935	1990
493	1938	1985
494	1942	1981
495	1945	1977
496	1949	1972
497	1952	1968
498	1956	1963
499	1959	1959
500	1962	1954
501	1966	1951
502	1969	1946
503	1973	1942
504	1977	1937
505	1980	1933
506	1984	1929
507	1987	1924
508	1991	1920
509	1994	1916
510	1998	1912
511	2001	1907
512	2004	1903
513	2014	1904
514	2017	1900
515	2021	1895
516	2025	1891
517	2028	1887
518	2032	1883
519	2035	1879
520	2039	1874
521	2042	1870
522	2045	1865
523	2049	1861
524	2053	1857
525	2057	1853
526	2060	1849
527	2064	1845
528	2068	1841
529	2071	1837
530	2075	1833
531	2079	1828
532	2082	1824
533	2086	1820
534	2090	1816
535	2093	1812
536	2097	1808
537	2101	1804
538	2105	1800
539	2108	1796
540	2112	1792
541	2115	1788
542	2119	1783
543	2122	1779
544	2126	1775
545	2129	1770
546	2133	1766
547	2136	1762
548	2140	1758
549	2143	1753
550	2147	1749
551	2150	1745
552	2154	1741
553	2157	1736
554	2160	1732
555	2164	1728
556	2167	1723
557	2170	1719
558	2173	1714
559	2176	1710
560	2180	1706
561	2183	1701
562	2186	1697
563	2189	1692
564	2192	1688
565	2196	1683
566	2198	1679
567	2202	1674
568	2205	1670
569	2208	1665
570	2211	1661
571	2214	1657
572	2217	1652
573	2220	1648
574	2223	1643
575	2227	1639
576	2230	1635
577	2233	1630
578	2236	1626
579	2239	1621
580	2242	1617
581	2245	1613
582	2248	1608
583	2252	1604
584	2255	1599
585	2258	1595
586	2261	1591
587	2264	1586
588	2267	1582
589	2270	1577
590	2273	1573
591	2277	1569
592	2280	1564
593	2283	1560
594	2286	1556
595	2289	1551
596	2292	1547
597	2295	1543
598	2298	1538
599	2302	1534
600	2304	1530
601	2308	1525
602	2310	1521
603	2313	1517
604	2317	1512
605	2320	1508
606	2323	1504
607	2326	1499
608	2329	1495
609	2332	1491
610	2335	1486
611	2338	1482
612	2341	1478
613	2344	1474
614	2347	1469
615	2351	1465
616	2354	1461
617	2357	1457
618	2360	1452
619	2363	1448
620	2366	1444
621	2369	1439
622	2372	1435
623	2375	1431
624	2378	1427
625	2382	1423
626	2385	1418
627	2388	1414
628	2391	1410
629	2394	1406
630	2397	1402
631	2400	1397
632	2403	1393
633	2406	1389
634	2409	1385
635	2412	1380
636	2416	1376
637	2419	1372
638	2422	1368
639	2425	1364
640	2428	1360
641	2431	1356
642	2435	1351
643	2438	1347
644	2441	1343
645	2444	1339
646	2447	1335
647	2450	1331
648	2453	1326
649	2456	1322
650	2460	1318
651	2463	1314
652	2466	1310
653	2469	1306
654	2472	1302
655	2475	1298
656	2478	1293
657	2481	1289
658	2484	1285
659	2488	1281
660	2491	1277
661	2494	1273
662	2498	1269
663	2501	1265
664	2504	1261
665	2507	1257
666	2510	1253
667	2513	1249
668	2516	1245
669	2519	1241
670	2523	1237
671	2526	1233
672	2529	1229
673	2532	1225
674	2535	1221
675	2539	1217
676	2542	1212
677	2545	1209
678	2548	1204
679	2551	1200
680	2555	1196
681	2558	1192
682	2562	1189
683	2565	1185
684	2568	1181
685	2571	1177
686	2575	1173
687	2578	1169
688	2581	1165
689	2584	1161
690	2588	1157
691	2591	1153
692	2594	1149
693	2597	1145
694	2601	1141
695	2604	1137
696	2607	1133
697	2610	1129
698	2613	1125
699	2616	1121
700	2620	1117
701	2623	1113
702	2626	1109
703	2630	1105
704	2633	1102
705	2637	1098
706	2640	1094
707	2643	1090
708	2646	1086
709	2650	1082
710	2653	1078
711	2656	1074
712	2659	1070
713	2662	1066
714	2666	1062
715	2669	1058
716	2672	1054
717	2676	1051
718	2679	1047
719	2682	1043
720	2685	1039
721	2688	1035
722	2692	1031
723	2695	1027
724	2698	1023
725	2701	1019
726	2704	1015
727	2708	1011
728	2711	1007
729	2714	1003
730	2718	1000
731	2721	996
732	2724	992
733	2727	988
734	2730	984
735	2734	980
736	2737	976
737	2740	972
738	2743	969
739	2746	965
740	2750	961
741	2753	957
742	2756	953
743	2759	949
744	2762	945
745	2765	941
746	2768	937
747	2772	933
748	2775	930
749	2778	926
750	2782	922
751	2785	918
752	2788	914
753	2791	910
754	2794	906
755	2797	903
756	2800	899
757	2804	895
758	2807	891
759	2810	887
760	2814	883
761	2817	879
762	2820	876
763	2824	872
764	2827	868
765	2830	864
766	2833	860
767	2837	857
768	2840	853
769	2843	849
770	2847	845
771	2850	841
772	2853	837
773	2856	834
774	2860	830
775	2863	826
776	2867	822
777	2871	819
778	2874	815
779	2878	811
780	2881	807
781	2885	804
782	2889	800
783	2892	796
784	2896	793
